,city,district,address,object_type,land_type,constructed_date,management,building_type,living_room,bed_room,toilet,compartment,balcony,land,building,parking,parking_type,price_sqm,price_parking,price_total,building_area,land_area,parking_area,latitude,longitude
23455,桃園市,八德區,廣興路３５號四樓,房地(土地+建物)+車位,住,2015-01-25,False,住宅大樓(11層含以上有電梯),2,3,2,True,True,1,1,1,坡道平面,49926,0,8800000,92.92,24.76,37.13,24.93204,121.28416
23458,桃園市,八德區,建德路72號8樓,房地(土地+建物)+車位,住,2019-07-15,True,住宅大樓(11層含以上有電梯),2,3,2,True,True,1,1,1,坡道平面,63283,1400000,8620000,76.94,26.39,39.8,24.92539,121.2816
23459,桃園市,八德區,建德路26號12樓,房地(土地+建物)+車位,住,2019-07-15,True,住宅大樓(11層含以上有電梯),2,3,2,True,True,1,1,1,坡道平面,57858,1400000,7920000,77.69,26.67,39.8,24.92458,121.28159
23460,桃園市,八德區,建德路20號4樓,房地(土地+建物)+車位,住,2019-07-15,True,住宅大樓(11層含以上有電梯),2,3,1,True,True,1,1,1,坡道平面,63709,1300000,7000000,61.66,21.17,39.8,24.92448,121.28144
23461,桃園市,八德區,建德路20號8樓,房地(土地+建物)+車位,住,2019-07-15,True,住宅大樓(11層含以上有電梯),2,3,1,True,True,1,1,1,坡道平面,63150,1250000,6900000,61.66,21.17,39.8,24.92448,121.28144
23462,桃園市,八德區,建德路30號3樓,房地(土地+建物)+車位,住,2019-07-15,True,住宅大樓(11層含以上有電梯),2,3,2,True,True,1,1,1,坡道平面,58722,1250000,7350000,70.94999999999999,24.3,39.8,24.92458,121.28159
23463,桃園市,八德區,建德路32號3樓,房地(土地+建物)+車位,住,2019-07-15,True,住宅大樓(11層含以上有電梯),2,3,1,True,True,1,1,1,坡道平面,61080,1250000,6760000,61.66,21.17,39.8,24.92458,121.28159
23464,桃園市,八德區,建德路46號8樓,房地(土地+建物)+車位,住,2019-07-15,True,住宅大樓(11層含以上有電梯),2,3,1,True,True,1,1,1,坡道平面,58712,1200000,6470000,61.66,21.17,39.8,24.92458,121.28159
23465,桃園市,楊梅區,金山街363號15樓,房地(土地+建物)+車位,住,2019-11-04,True,住宅大樓(11層含以上有電梯),2,2,1,True,True,1,1,1,坡道平面,38743,1100000,4650000,62.33,17.57,41.27,24.91212,121.16165
23466,桃園市,楊梅區,金山街383號5樓,房地(土地+建物)+車位,住,2019-11-04,True,住宅大樓(11層含以上有電梯),2,2,1,True,True,1,1,1,坡道平面,39104,1000000,4700000,64.38,18.15,39.14,24.91246,121.16191
